Sales,Quantity,Discount,Profit,Outlet Type,City Type,Category of Goods,Region,State,Segment,Ship Mode,Sub-Category,Order Date,month,day_of_week,quarter,year,Outlet Type_enc,City Type_enc,Category of Goods_enc,Region_enc,State_enc,Segment_enc,Ship Mode_enc,Sub-Category_enc,anomaly,anomaly_flag
140800.0,44,0.36,35200.0,Small,Tier 2,Electronics,West,Maharashtra,Corporate,Same Day,Coolers,2023-11-10,11,4,4,2023,2,1,1,3,3,1,1,2,-1,1
142200.0,36,0.21,35550.0,Small,Tier 2,Electronics,South,Gujarat,Corporate,Second Class,Coolers,2021-03-24,3,2,1,2021,2,1,1,2,1,1,2,2,-1,1
173900.0,47,0.26,43475.0,Small,Village,Electronics,North,Punjab,Corporate,Standard Class,Fans,2024-08-28,8,2,3,2024,2,2,1,1,4,1,3,3,-1,1
140800.0,44,0.36,35200.0,Medium,Village,Electronics,East,Punjab,Consumer,Second Class,Fans,2022-11-06,11,6,4,2022,1,2,1,0,4,0,2,3,-1,1
70150.0,23,0.39,17537.5,Medium,Village,Electronics,West,Punjab,Home Office,Second Class,Coolers,2020-12-21,12,0,4,2020,1,2,1,3,4,2,2,2,-1,1
144300.0,37,0.22,36075.0,Medium,Tier 1,Electronics,West,Gujarat,Consumer,Standard Class,Coolers,2023-10-25,10,2,4,2023,1,0,1,3,1,0,3,2,-1,1
130200.0,42,0.38,32550.0,Medium,Village,Electronics,South,Karnataka,Home Office,Same Day,Coolers,2020-11-28,11,5,4,2020,1,2,1,2,2,2,1,2,-1,1
165900.0,42,0.21,41475.0,Large,Tier 2,Electronics,South,Maharashtra,Home Office,Second Class,AC,2022-08-03,8,2,3,2022,0,1,1,2,3,2,2,0,-1,1
128700.0,33,0.22,32175.0,Small,Tier 1,Electronics,South,Punjab,Corporate,Second Class,AC,2023-10-23,10,0,4,2023,2,0,1,2,4,1,2,0,-1,1
62400.0,13,0.04,9360.0,Large,Village,Electronics,South,Gujarat,Corporate,Standard Class,Fans,2022-04-09,4,5,2,2022,0,2,1,2,1,1,3,3,-1,1
153600.0,48,0.36,38400.0,Small,Village,Electronics,South,Maharashtra,Corporate,Second Class,AC,2021-03-15,3,0,1,2021,2,2,1,2,3,1,2,0,-1,1
173800.0,44,0.21,43450.0,Large,Tier 2,Electronics,South,Punjab,Corporate,Second Class,Fans,2020-12-05,12,5,4,2020,0,1,1,2,4,1,2,3,-1,1
147200.0,46,0.36,36800.0,Small,Tier 2,Electronics,North,Delhi,Consumer,Second Class,Coolers,2022-10-07,10,4,4,2022,2,1,1,1,0,0,2,2,-1,1
188000.0,47,0.2,47000.0,Large,Tier 2,Electronics,West,Punjab,Home Office,Standard Class,Coolers,2023-08-09,8,2,3,2023,0,1,1,3,4,2,3,2,-1,1
147400.0,44,0.33,36850.0,Medium,Village,Electronics,North,Karnataka,Home Office,Second Class,Fans,2022-08-29,8,0,3,2022,1,2,1,1,2,2,2,3,-1,1
74400.0,24,0.38,18600.0,Small,Tier 1,Electronics,East,Delhi,Home Office,Second Class,AC,2024-11-01,11,4,4,2024,2,0,1,0,0,2,2,0,-1,1
167700.0,43,0.22,41925.0,Medium,Tier 1,Electronics,South,Delhi,Home Office,Standard Class,AC,2020-08-30,8,6,3,2020,1,0,1,2,0,2,3,0,-1,1
60000.0,12,0.0,9000.0,Small,Tier 1,Electronics,South,Karnataka,Corporate,First Class,Fans,2020-09-18,9,4,3,2020,2,0,1,2,2,1,0,3,-1,1
158400.0,44,0.28,39600.0,Medium,Village,Electronics,South,Delhi,Home Office,Same Day,Fans,2020-01-01,1,2,1,2020,1,2,1,2,0,2,1,3,-1,1
169200.0,47,0.28,42300.0,Small,Village,Electronics,East,Gujarat,Corporate,First Class,Fans,2021-03-30,3,1,1,2021,2,2,1,0,1,1,0,3,-1,1
81900.0,21,0.22,20475.0,Medium,Tier 2,Electronics,South,Maharashtra,Home Office,Same Day,AC,2021-01-06,1,2,1,2021,1,1,1,2,3,2,1,0,-1,1
166500.0,45,0.26,41625.0,Medium,Village,Electronics,South,Punjab,Home Office,Same Day,Fans,2022-01-21,1,4,1,2022,1,2,1,2,4,2,1,3,-1,1
115900.0,38,0.39,28975.0,Small,Tier 1,Electronics,East,Gujarat,Corporate,Standard Class,Coolers,2021-01-16,1,5,1,2021,2,0,1,0,1,1,3,2,-1,1
118950.0,39,0.39,29737.5,Medium,Tier 1,Electronics,North,Maharashtra,Consumer,Second Class,AC,2023-12-15,12,4,4,2023,1,0,1,1,3,0,2,0,-1,1
154000.0,40,0.23,38500.0,Medium,Tier 2,Electronics,North,Karnataka,Consumer,Standard Class,Coolers,2020-08-19,8,2,3,2020,1,1,1,1,2,0,3,2,-1,1
141900.0,43,0.34,35475.0,Medium,Tier 2,Electronics,West,Delhi,Corporate,First Class,Fans,2020-11-03,11,1,4,2020,1,1,1,3,0,1,0,3,-1,1
104000.0,26,0.2,26000.0,Medium,Village,Electronics,North,Karnataka,Home Office,First Class,Coolers,2024-12-14,12,5,4,2024,1,2,1,1,2,2,0,2,-1,1
162000.0,45,0.28,40500.0,Small,Village,Electronics,West,Gujarat,Consumer,Second Class,AC,2024-03-20,3,2,1,2024,2,2,1,3,1,0,2,0,-1,1
151200.0,42,0.28,37800.0,Medium,Tier 1,Electronics,North,Delhi,Corporate,Standard Class,Fans,2021-10-29,10,4,4,2021,1,0,1,1,0,1,3,3,-1,1
168000.0,42,0.2,42000.0,Large,Village,Electronics,South,Gujarat,Corporate,Second Class,Fans,2022-10-13,10,3,4,2022,0,2,1,2,1,1,2,3,-1,1
167700.0,43,0.22,41925.0,Large,Tier 2,Electronics,East,Punjab,Home Office,Second Class,Coolers,2022-11-18,11,4,4,2022,0,1,1,0,4,2,2,2,-1,1
138600.0,44,0.37,34650.0,Medium,Village,Electronics,West,Maharashtra,Corporate,Same Day,Fans,2020-11-03,11,1,4,2020,1,2,1,3,3,1,1,3,-1,1
134200.0,44,0.39,33550.0,Large,Village,Electronics,West,Gujarat,Corporate,Standard Class,Fans,2020-08-14,8,4,3,2020,0,2,1,3,1,1,3,3,-1,1
118950.0,39,0.39,29737.5,Large,Village,Electronics,North,Karnataka,Consumer,Second Class,AC,2021-11-12,11,4,4,2021,0,2,1,1,2,0,2,0,-1,1
180000.0,48,0.25,45000.0,Large,Village,Electronics,East,Delhi,Home Office,Standard Class,Coolers,2023-03-13,3,0,1,2023,0,2,1,0,0,2,3,2,-1,1
142600.0,46,0.38,35650.0,Small,Tier 1,Electronics,South,Gujarat,Home Office,First Class,Fans,2021-11-04,11,3,4,2021,2,0,1,2,1,2,0,3,-1,1
67500.0,18,0.25,16875.0,Medium,Village,Electronics,West,Delhi,Corporate,Standard Class,AC,2022-03-28,3,0,1,2022,1,2,1,3,0,1,3,0,-1,1
148050.0,47,0.37,37012.5,Small,Tier 1,Electronics,West,Karnataka,Consumer,Second Class,Coolers,2023-12-29,12,4,4,2023,2,0,1,3,2,0,2,2,-1,1
151200.0,48,0.37,37800.0,Large,Tier 2,Electronics,East,Punjab,Home Office,Same Day,Coolers,2021-08-03,8,1,3,2021,0,1,1,0,4,2,1,2,-1,1
78000.0,20,0.22,19500.0,Small,Tier 1,Electronics,South,Gujarat,Corporate,Same Day,AC,2024-12-28,12,5,4,2024,2,0,1,2,1,1,1,0,-1,1
171600.0,44,0.22,42900.0,Large,Tier 1,Electronics,West,Delhi,Consumer,Standard Class,Fans,2022-11-13,11,6,4,2022,0,0,1,3,0,0,3,3,-1,1
142200.0,36,0.21,35550.0,Large,Tier 2,Electronics,West,Maharashtra,Home Office,Same Day,AC,2023-11-27,11,0,4,2023,0,1,1,3,3,2,1,0,-1,1
159600.0,42,0.24,39900.0,Small,Tier 2,Electronics,South,Delhi,Corporate,Standard Class,AC,2020-11-29,11,6,4,2020,2,1,1,2,0,1,3,0,-1,1
44928.0,48,0.22,11232.0,Small,Village,Clothing,South,Gujarat,Corporate,First Class,Jeans,2022-10-19,10,2,4,2022,2,2,0,2,1,1,0,5,-1,1
76250.0,25,0.39,19062.5,Large,Village,Electronics,West,Karnataka,Home Office,Same Day,AC,2024-01-27,1,5,1,2024,0,2,1,3,2,2,1,0,-1,1
131150.0,43,0.39,32787.5,Medium,Village,Electronics,West,Punjab,Corporate,Same Day,AC,2022-01-11,1,1,1,2022,1,2,1,3,4,1,1,0,-1,1
